Date,Actual,Goal
Dec 13 2022,15390,8000
Dec 14 2022,6719,8000
Dec 15 2022,4342,8000
Dec 16 2022,4403,8000
Dec 17 2022,6295,8000
Dec 18 2022,5005,8000
Dec 19 2022,8027,8000
Dec 20 2022,9160,8000
Dec 21 2022,8657,8000
Dec 22 2022,3587,8000
Dec 23 2022,9886,8000
Dec 24 2022,2909,8000
Dec 25 2022,6220,8000
Dec 26 2022,1664,8000
Dec 27 2022,0,8000
Dec 28 2022,1011,8000
Dec 29 2022,2038,8000
Dec 30 2022,6592,8000
Dec 31 2022,5510,8000
Jan 1 2023,4479,8000
Jan 2 2023,7924,8000
Jan 3 2023,4414,8000
Jan 4 2023,8907,8000
Jan 5 2023,6316,8000
Jan 6 2023,2643,8000
Jan 7 2023,4562,8000
Jan 8 2023,3480,8000
Jan 9 2023,5709,8000
